ID,Gene,In_Degree,Out_Degree,Betweenness,Closeness_Out,Closeness_In,PageRank
88,YBR017C,2,0,0.0,0.004829594734007103,0.0,0.00038101917885810716
89,YBR021W,4,0,0.0,0.0015885623510722795,0.0,0.00045087287496023816
90,YBR024W,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
91,YBR025C,6,0,0.0,0.006630521117519081,0.0,0.00038411151070572263
92,YBR026C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
93,YBR029C,5,0,0.0,0.006366283967554818,0.0,0.0003886203165761785
94,YBR031W,5,0,0.0,0.0043365493564816735,0.0,0.0003854521680986787
95,YBR034C,5,0,0.0,0.005284840713130521,0.0,0.00038494422672055717
96,YBR035C,2,0,0.0,0.004914324466182666,0.0,0.00038116822846981515
97,YBR036C,7,0,0.0,0.005648221692701439,0.0,0.00038856943831776616
98,YBR037C,1,0,0.0,0.0003971405877680699,0.0,0.0003821916166479701
99,YBR038W,11,0,0.0,0.007465048642256953,0.0,0.0003990655608388924
100,YBR039W,8,0,0.0,0.007148530579825259,0.0,0.00043445730547697755
101,YBR041W,2,0,0.0,0.005221925942736109,0.0,0.00038401365930159145
102,YBR043C,2,0,0.0,0.004885752812309511,0.0,0.000382110470595089
103,YBR046C,4,0,0.0,0.005382107720120653,0.0,0.0003848234603425973
104,YBR048W,6,0,0.0,0.00554380553041358,0.0,0.00038783332760875775
105,YBR049C,4,95,0.00017856337035245323,0.00494323225716021,0.03772835583796664,0.0003822339542137564
106,YBR050C,2,0,0.0,0.005876569816204447,0.0,0.00038838888219776876
107,YBR052C,14,0,0.0,0.008364338168694174,0.0,0.00040424957563592675
108,YBR053C,11,0,0.0,0.0060502314371011475,0.0,0.0004202468831888299
109,YBR056W,12,0,0.0,0.007942811755361398,0.0,0.00043148696337567364
110,YBR057C,3,0,0.0,0.005093027174043854,0.0,0.00038419313758759725
111,YBR067C,23,0,0.0,0.01161036510280344,0.0,0.0004723007435187182
112,YBR068C,1,0,0.0,0.0003971405877680699,0.0,0.0003918153411997294
113,YBR070C,5,0,0.0,0.006010636460959354,0.0,0.0003927296429484325
114,YBR071W,5,0,0.0,0.0062352747978269545,0.0,0.0004030873296187382
115,YBR072W,13,0,0.0,0.008355081508377776,0.0,0.00042685899002314865
116,YBR078W,11,0,0.0,0.006909670661095187,0.0,0.00039832145038666203
117,YBR079C,3,0,0.0,0.0012708498808578236,0.0,0.0003834336475772275
118,YBR080C,2,0,0.0,0.005155518305013717,0.0,0.00038120624142045316
119,YBR082C,10,0,0.0,0.006621767716882888,0.0,0.00039207888990629966
120,YBR083W,0,106,0.0,0.0,0.15234259644661005,0.0003802805224107413
121,YBR086C,3,0,0.0,0.00600879149575114,0.0,0.00038778349235642977
122,YBR087W,5,0,0.0,0.00639956074651769,0.0,0.0003904807804888766
123,YBR088C,5,0,0.0,0.006083855812617241,0.0,0.0004139284829037914
124,YBR093C,11,0,0.0,0.006091113309326226,0.0,0.00042501271686515746
125,YBR101C,5,0,0.0,0.006310426994604366,0.0,0.0004078579275984686
