"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YKL181W",179.124163116251,174,41.7839891382998,34,0.233268300665735,0.240137868610918,0.195402298850575,0.0511259890444309
"YNL243W",91.1300578034682,81.5,29.1386709187105,32.75,0.319748188699179,0.357529704524055,0.401840490797546,0.0452793834296724
"YOR241W",92.1282306163022,84.5,26.5068180143199,18,0.287716564586116,0.313690154015621,0.21301775147929,0.131212723658052
"YDR525W-A",116.391098484848,97,72.5520533926753,53,0.62334709730504,0.74795931332655,0.54639175257732,0.0918560606060606
"YGL099W",159.907058823529,148,45.697830420275,40,0.285777443200342,0.308769124461318,0.27027027027027,0.112941176470588
"YJL151C",195.102019128587,165,105.202106433505,81,0.539215877433686,0.637588523839422,0.490909090909091,0.0828905419766206
"YGL173C",162.977364591754,157,37.6534333178506,32,0.231034741616847,0.239830785464016,0.203821656050955,0.0662894098625707
"YER012W",237.204064352244,251,101.804397945738,60,0.429184880215881,0.405595210939195,0.239043824701195,0.16342082980525
"YNL197C",56.7462686567164,57,6.70390381877762,8,0.118138231419806,0.117612347697853,0.140350877192982,0.0162822252374491
"YBR115C",666.344713656388,567,257.104582568567,379.25,0.385843208926765,0.453447235570664,0.668871252204586,0.00440528634361234
"YDR453C",36.8131176999102,33,16.6178787009476,12,0.451411880852139,0.503572081846897,0.363636363636364,0.0736747529200359
"YLL045C",2844.02062706271,3072,1091.6311360283,1563.5,0.383833761837279,0.355348677092544,0.508951822916667,0.0165016501650165
"YGL245W",788.788983050847,742,227.794597552517,160,0.288790287956942,0.307000805326843,0.215633423180593,0.116949152542373
"YGR214W",2144.752,2137,393.678662396814,435,0.183554398082769,0.184220244453352,0.203556387459055,0.0205714285714286
"YDR012W",1141.8679245283,1122.5,271.383298529775,227.25,0.237666101919696,0.241766858378418,0.202449888641425,0.0377358490566038
"YDR418W",4873.82604817128,5259,1514.88847452526,2724,0.31082120279891,0.288056374695808,0.517969195664575,0
"YNL220W",329.341672623302,307,101.381708628384,86.5,0.307831401416194,0.330233578594086,0.281758957654723,0.0972122944960686
"YLR249W",5296.02629482072,5041,1362.84438462078,956.5,0.257333387100737,0.270351990601227,0.189744098393176,0.0932270916334661
"YNL096C",1464.70346715328,1336.5,747.250877915206,731.5,0.510172123349664,0.559110271541493,0.547325102880658,0.12956204379562
"YLR287C-A",2468.10069444444,2507,481.772428608006,435.25,0.195199664945781,0.192170892942962,0.173613881132828,0.0458333333333333
"YKR059W",1502.40693430657,1557,350.669450447263,289.75,0.233405106459465,0.225221227005307,0.186095054592164,0.0410583941605839
"YLR048W",3070.09010600707,2984.5,720.076559693953,575.75,0.234545741274831,0.241272092375256,0.192913385826772,0.0600706713780919
