Node 1,Node 2,Weight
273,121,1
1077,121,1
1511,121,1
273,122,1
288,122,1
707,122,1
826,122,1
1511,122,1
288,123,1
444,123,1
707,123,1
1455,123,1
1627,123,1
120,124,1
288,124,-1
314,124,1
436,124,1
775,124,1
1194,124,1
1330,124,1
1511,124,1
1946,124,1
2020,124,1
2133,124,1
273,125,1
826,125,1
1213,125,1
1383,125,1
1403,125,1
2020,126,1
78,127,1
613,127,1
183,128,1
273,128,1
613,128,1
707,128,1
826,128,1
1330,128,-1
1383,128,1
1403,128,1
1422,128,-1
1424,128,1
1625,128,-1
1787,128,1
2020,128,1
2375,128,1
273,129,1
826,129,1
1403,129,-1
1422,129,1
1625,129,1
1787,129,1
2020,129,1
2348,129,1
273,130,1
1148,130,1
1625,130,1
2020,130,1
273,131,1
273,132,1
613,133,1
258,134,1
613,134,1
826,134,1
1096,134,1
1194,134,1
2020,134,1
2168,134,1
2226,134,1
1330,135,1
1625,135,-1
1688,135,1
1787,135,1
2226,135,1
273,136,1
1330,136,1
1422,136,1
1707,136,-1
1787,136,1
2020,136,1
24,137,1
474,137,1
826,137,1
1194,137,1
1688,137,-1
1787,137,1
1923,137,1
2020,137,-1
2348,137,1
2485,137,1
489,138,1
1330,138,1
1422,138,1
2020,138,1
2312,138,1
273,139,1
832,139,1
1330,139,1
1077,140,1
24,141,1
273,141,1
707,141,1
1330,141,1
1424,141,1
1625,141,1
1688,141,-1
1787,141,1
2016,141,1
2348,141,-1
48,142,1
273,142,1
288,142,-1
601,142,1
613,142,-1
826,142,-1
1194,142,1
1330,142,-1
1422,142,-1
1424,142,1
1587,142,-1
1625,142,-1
1688,142,-1
1787,142,-1
1923,142,1
2020,142,-1
2355,142,1
273,143,1
474,143,1
667,143,1
1194,143,1
273,144,1
613,144,1
1194,144,1
1330,144,1
1422,144,1
1424,144,1
1625,144,1
1688,144,1
2020,144,1
613,145,1
2016,145,1
2303,145,1
273,146,1
1330,146,1
1422,146,1
613,147,1
273,148,1
474,148,1
613,148,1
826,148,-1
883,148,1
1194,148,1
1330,148,1
1422,148,1
1424,148,-1
1587,148,1
1625,148,-1
1688,148,-1
1707,148,-1
1711,148,1
1787,148,1
1801,148,1
1838,148,1
1923,148,1
2020,148,1
273,149,1
826,149,1
1330,149,1
1787,149,1
2020,149,1
2226,149,1
273,150,1
273,151,1
1194,151,1
1330,151,1
1688,151,1
444,152,1
707,152,1
797,152,1
1077,152,1
1096,152,1
1194,152,1
1392,152,1
1403,152,-1
1422,152,1
1424,152,-1
1455,152,-1
1587,152,1
1777,152,1
2020,152,1
2470,152,1
2485,152,1
24,153,1
1116,153,1
1787,153,1
273,154,1
288,154,1
613,154,1
707,154,1
1330,154,1
120,155,1
273,155,-1
288,155,1
444,155,1
613,155,1
667,155,1
707,155,1
1077,155,1
1194,155,1
1330,155,-1
1587,155,1
1625,155,-1
1688,155,-1
1711,155,-1
1777,155,-1
1787,155,1
1838,155,-1
1946,155,1
2020,155,1
613,156,1
1424,156,1
288,157,1
347,157,1
613,157,1
667,157,-1
826,157,-1
1215,157,-1
1256,157,-1
1264,157,-1
1330,157,1
1422,157,1
1424,157,1
1455,157,1
1482,157,1
1688,157,-1
1787,157,1
2020,157,1
2133,157,1
1422,158,1
613,159,1
826,159,1
1131,159,1
1264,159,1
1777,159,1
1787,159,1
2168,159,1
1424,160,1
1688,160,1
1787,160,1
1096,161,1
1330,161,1
1688,161,1
1711,161,1
1787,161,1
2020,161,1
273,162,1
1330,162,1
273,163,1
436,163,1
613,163,1
667,163,-1
707,163,1
826,163,1
1403,163,-1
1422,163,1
1787,163,1
2133,163,1
258,164,1
1330,164,1
1625,164,1
1688,164,1
2020,164,1
273,166,1
613,166,1
826,166,1
1177,166,1
1403,166,1
1625,166,1
1636,166,1
1787,166,1
1838,166,1
2020,166,1
2485,166,1
1422,167,1
1625,168,1
1688,168,1
2020,168,1
1625,169,1
1688,169,1
2020,169,1
1330,170,1
1787,170,1
2016,170,1
2020,170,1
2348,170,1
273,171,1
613,171,1
1330,171,1
1787,171,1
1889,171,1
707,172,-1
1720,172,1
1793,172,1
273,173,1
825,173,1
826,173,1
1330,173,1
1383,173,-1
1403,173,-1
1787,173,1
2402,173,1
667,174,1
1215,174,1
1482,174,1
1787,174,1
2226,174,1
273,175,1
474,175,1
1194,175,1
1424,175,1
1923,175,1
474,176,1
489,176,1
1787,176,1
2020,176,1
2485,176,1
613,177,1
273,178,1
613,178,1
1194,178,1
1330,178,1
1422,178,1
2020,178,1
489,179,1
825,179,1
1330,179,1
1778,179,1
273,180,1
474,180,1
613,180,1
826,180,-1
1194,180,1
1256,180,-1
1330,180,1
1403,180,1
1422,180,1
1787,180,1
1889,180,1
2020,180,1
2226,180,1
273,181,1
613,181,1
1330,181,1
613,182,1
1077,184,1
1711,184,1
2168,184,1
613,185,1
707,186,1
48,187,1
273,187,-1
436,187,1
667,187,1
707,187,-1
883,187,1
1131,187,1
1256,187,1
1330,187,1
1422,187,1
1424,187,1
1511,187,1
1625,187,1
1688,187,1
1711,187,1
1787,187,1
1838,187,-1
1843,187,-1
1923,187,1
2020,187,1
2226,187,-1
2309,187,-1
2348,187,-1
1390,188,1
1688,188,1
613,189,1
1424,189,1
1511,189,1
613,190,1
707,190,1
826,190,-1
1330,190,1
1422,190,1
1625,190,1
1777,190,1
2020,190,1
273,191,1
1148,191,1
273,192,1
613,192,1
1330,192,1
1424,192,1
1587,192,-1
1625,192,1
1787,192,1
613,193,1
613,194,1
1330,194,1
2226,194,1
273,195,1
613,195,1
1330,195,1
1422,195,1
1424,195,1
613,196,1
883,196,1
1077,196,1
1330,196,1
1787,196,1
2020,196,1
2059,196,-1
2348,196,1
1720,197,1
273,198,1
1077,198,1
1330,198,1
1422,198,1
1787,198,1
474,199,1
613,199,1
707,199,-1
826,199,1
1330,199,1
