ID,Gene_Name,In_Degree,Out_Degree
398,YDR045C,4,0
399,YDR047W,6,0
400,YDR050C,3,0
401,YDR051C,5,0
402,YDR055W,17,0
403,YDR059C,2,0
404,YDR060W,1,0
405,YDR061W,2,0
406,YDR062W,3,0
407,YDR063W,6,0
408,YDR064W,8,0
409,YDR067C,3,0
410,YDR068W,2,0
411,YDR070C,5,0
412,YDR071C,4,0
413,YDR072C,13,0
414,YDR073W,14,0
415,YDR074W,6,0
416,YDR075W,2,0
417,YDR077W,15,0
418,YDR078C,1,0
419,YDR079W,3,0
420,YDR084C,10,0
421,YDR086C,13,0
422,YDR088C,1,0
423,YDR090C,6,0
424,YDR091C,2,0
425,YDR092W,3,0
426,YDR098C,9,0
427,YDR099W,5,0
428,YDR100W,3,0
429,YDR101C,4,0
430,YDR105C,2,0
431,YDR111C,1,0
432,YDR116C,2,0
433,YDR119W,2,0
434,YDR120C,5,0
435,YDR122W,1,0
436,YDR123C,0,110
437,YDR127W,3,0
438,YDR129C,3,0
439,YDR135C,2,0
440,YDR139C,3,0
441,YDR142C,1,0
442,YDR143C,1,0
443,YDR144C,1,0
444,YDR146C,0,145
445,YDR148C,1,0
446,YDR150W,2,0
447,YDR151C,1,0
448,YDR152W,2,0
449,YDR155C,9,0
450,YDR156W,13,0
451,YDR158W,5,0
452,YDR165W,3,0
453,YDR167W,2,0
454,YDR168W,3,0
455,YDR169C,4,0
456,YDR170C,2,0
457,YDR171W,8,0
458,YDR172W,6,0
459,YDR174W,6,14
460,YDR175C,2,0
461,YDR177W,1,0
462,YDR178W,6,0
463,YDR182W,1,0
464,YDR190C,2,0
465,YDR194C,1,0
466,YDR202C,2,0
467,YDR207C,0,40
468,YDR208W,2,0
469,YDR210W,7,0
470,YDR211W,3,0
471,YDR212W,4,0
472,YDR213W,0,7
473,YDR214W,9,0
474,YDR216W,0,109
475,YDR222W,4,0
476,YDR224C,5,0
477,YDR225W,6,0
478,YDR226W,7,0
479,YDR231C,4,0
480,YDR232W,9,0
481,YDR233C,4,0
482,YDR234W,4,0
483,YDR236C,2,0
484,YDR238C,1,0
485,YDR244W,7,0
486,YDR245W,2,0
487,YDR248C,1,0
488,YDR251W,4,0
489,YDR253C,3,125
490,YDR258C,10,0
491,YDR259C,0,4
492,YDR260C,3,0
493,YDR261C,2,0
494,YDR262W,9,0
495,YDR266C,2,0
496,YDR267C,2,0
497,YDR272W,5,0
498,YDR275W,1,0
499,YDR276C,12,0
500,YDR279W,3,0
501,YDR280W,3,0
502,YDR281C,8,0
503,YDR283C,1,0
504,YDR284C,5,0
505,YDR286C,2,0
506,YDR287W,2,0
507,YDR294C,4,0
508,YDR296W,1,0
509,YDR297W,6,0
510,YDR298C,1,0
511,YDR300C,1,0
512,YDR302W,5,0
513,YDR304C,11,0
514,YDR309C,12,0
515,YDR310C,0,8
516,YDR319C,1,0
517,YDR321W,3,0
518,YDR322W,2,0
519,YDR328C,1,0
520,YDR330W,1,0
521,YDR333C,1,0
522,YDR335W,1,0
523,YDR339C,7,0
524,YDR341C,4,0
525,YDR342C,21,0
526,YDR343C,7,0
527,YDR345C,8,0
528,YDR349C,2,0
529,YDR353W,2,0
530,YDR354W,3,0
531,YDR361C,8,0
532,YDR365C,2,0
533,YDR366C,3,0
534,YDR367W,2,0
535,YDR368W,6,0
536,YDR372C,6,0
537,YDR373W,3,0
538,YDR376W,1,0
539,YDR377W,2,0
540,YDR378C,7,0
541,YDR381W,2,0
542,YDR382W,5,0
543,YDR384C,15,0
544,YDR385W,11,0
545,YDR388W,11,0
546,YDR391C,8,0
547,YDR393W,2,0
548,YDR394W,1,0
549,YDR395W,1,0
550,YDR397C,2,0
551,YDR399W,14,0
552,YDR404C,3,0
553,YDR405W,2,0
554,YDR408C,7,0
555,YDR410C,1,0
556,YDR411C,5,0
557,YDR418W,7,0
558,YDR421W,0,9
559,YDR423C,0,15
560,YDR427W,3,0
561,YDR429C,5,0
562,YDR434W,1,0
563,YDR435C,2,0
564,YDR441C,5,0
565,YDR447C,4,0
566,YDR449C,3,0
567,YDR450W,3,0
568,YDR451C,8,16
569,YDR452W,2,0
570,YDR453C,3,0
571,YDR454C,3,0
572,YDR456W,1,0
573,YDR457W,5,0
574,YDR458C,1,0
575,YDR463W,0,12
576,YDR465C,3,0
577,YDR468C,2,0
578,YDR471W,7,0
579,YDR472W,3,0
580,YDR476C,3,0
581,YDR477W,2,0
582,YDR479C,3,0
583,YDR483W,14,0
